ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
一項,747773,砂防法施行規程,2_2_1,Sentence,三十九年法律第百六十七号）第三条第一項ノ河川以外ノ河川ニ係ル天然ノ河岸トス
二項,367264,砂防法施行規程,3_1,Sentence,ノ場合ニ於テハ都道府県ノ条例ヲ以テ第二項ノ場合ニ於テハ国土交通省令ヲ以テ之ヲ定ム
一条,359999,明治十四年太政官布告第六十三号（褒章条例）,1,ArticleTitle,第一条
一日,264909,明治十四年太政官布告第六十三号（褒章条例）,1,Sentence,褒章条例別紙ノ通相定来明治十五年一月一日ヨリ之ヲ施行ス
二条,248878,明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）,2,ArticleTitle,第二条
三項,233462,明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,1_1,Sentence,下「差押命令等」ト謂フ）ハ左ノ三項ニ掲クルモノノ外仕払命令官ニ宛之ヲ発スル
一部,190828,明治二十二年法律第三十四号（決闘罪ニ関スル件）,1,Sentence,この法律は、刑法等一部改正法施行日から施行する。
一号,188431,,,LawNum,明治十九年勅令第五十一号
三条,183165,明治八年太政官布告第百三号（裁判事務心得）,3,ArticleTitle,第三条
二号,175799,,,LawNum,明治八年太政官達第百五十二号
四条,171946,明治八年太政官布告第百三号（裁判事務心得）,4,ArticleTitle,第四条
五条,169309,明治八年太政官布告第百三号（裁判事務心得）,5,ArticleTitle,第五条
七条,147012,明治十七年太政官布告第三十二号（爆発物取締罰則）,7,ArticleTitle,第七条
六条,145656,明治十七年太政官布告第三十二号（爆発物取締罰則）,6,ArticleTitle,第六条
八条,143430,明治十七年太政官布告第三十二号（爆発物取締罰則）,8,ArticleTitle,第八条
四項,143189,行旅病人及行旅死亡人取扱法,1_1_5,Sentence,第十七条の規定（児童福祉法第二十条第四項の改正規定を除く。附則第七条第二項におい
九条,142130,明治十七年太政官布告第三十二号（爆発物取締罰則）,9,ArticleTitle,第九条
十条,125783,明治十七年太政官布告第三十二号（爆発物取締罰則）,10,ArticleTitle,第十条
三号,123413,,,LawNum,明治十四年太政官布告第六十三号
五項,100604,供託法,1_8_1,Sentence,用ニ付テハ同法第二十九条第五項中「処分庁等」トアルハ「審査庁」ト、「弁
四号,81257,,,LawNum,明治二十五年閣令第四号
六項,71942,水難救護法,9_2,Sentence,（郵便ノ業務ヲ行フモノニ限ル）又ハ同条第六項ニ規定スル一般信書便事業者若ハ同条第九項
一般,59145,明治八年太政官布告第百三号（裁判事務心得）,4_1,Sentence,一般ノ定規トスルコトヲ得ス
五号,58704,,,LawNum,明治六年太政官布告第六十五号
五年,55559,メートル条約,1,Sentence,明治八年（西暦千八百七十五年）仏蘭西国巴里府ニ於テ独逸国外十六箇国ノ
一年,54543,明治二十二年法律第三十四号（決闘罪ニ関スル件）,4_1,Sentence,証人介添人等何等ノ名義ヲ以テスルニ拘ラス一年以下ノ拘禁刑ニ処ス
二の,51914,刑法,3_1_3,Sentence,る第百六十一条の二の罪
一の,51661,民法,6_1,Sentence,営業に関しては、成年者と同一の行為能力を有する。
七項,51478,砂防法施行規程,12_5,Sentence,砂防法第五十条第七項ノ政令ヲ以テ定ムル場合ハ前項ニ依リ償還期
三年,47024,明治十七年太政官布告第三十二号（爆発物取締罰則）,3_1,Sentence,具ヲ製造輸入所持シ又ハ注文ヲ為シタル者ハ三年以上十年以下ノ拘禁刑ニ処ス
二年,45082,供託法,1_8_1,Sentence,明書の提出」トアルハ「供託法（明治三十二年法律第十五号）第一条ノ六第二項に規定する
六号,44074,,,LawNum,明治二十一年勅令第七十六号
八項,42677,供託法,9,Sentence,前八項に定めるもののほか、この法律の施行に関し
〇円,40030,健康保険法,40_1,Sentence,五八、〇〇〇円
十年,39506,,,LawNum,明治二十年勅令
三月,36196,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,三月大
六月,35390,明治二十二年法律第三十四号（決闘罪ニ関スル件）,1_1,Sentence,決闘ヲ挑ミタル者又ハ其挑ニ応シタル者ハ六月以上二年以下ノ拘禁刑ニ処ス
九項,32917,大正五年大蔵省令第三十二号（証券ヲ以テスル歳入納付ニ関スル法律施行細則）,9_1,Sentence,般信書便事業者若ハ同条第九項ニ規定スル特定信書便事業者ニ依ル同条第二
七号,32714,,,LawNum,明治十六年太政官達第二十七号
八号,29878,,,LawNum,明治二十八年法律第二十八号
三の,29288,民法施行法,1_1_1,Sentence,定（農業改良助長法第十四条の三の改正規定に係る部分を除く。）並びに第四百
七年,28844,明治十七年太政官布告第三十二号（爆発物取締罰則）,1_1,Sentence,之ヲ使用セシメタル者ハ死刑又ハ無期若クハ七年以上ノ拘禁刑ニ処ス
一時,28701,明治五年太政官布告第三百三十七号（改暦ノ布告）,3_5,Sentence,一時　子半刻
百円,27990,明治十七年太政官布告第三十二号（爆発物取締罰則）,7_1,Sentence,タル者ハ直ニ警察官吏ニ告知ス可シ違フ者ハ百円以下ノ罰金ニ処ス
百分,27443,鉄道抵当法,51_1,Sentence,ハ競買ノ申込ト共ニ保証トシテ最低競売価額百分ノ五ニ相当スル金額ヲ現金又ハ有価証券（社
